Hamlet	http://www.shakespearetheatre.org/performance-id/21225	17-18	flagged
Macbeth	http://www.shakespearetheatre.org/performance-id/19567	16-17	flagged
Romeo & Juliet	http://www.shakespearetheatre.org/performance-id/19537	16-17	flagged
Othello	http://www.shakespearetheatre.org/performance-id/17460	15-16	flagged
The Tempest	http://www.shakespearetheatre.org/performance-id/16445	14-15	normal
King Lear	http://www.shakespearetheatre.org/performance-id/5980	08-09	normal
Romeo and Juliet	http://www.shakespearetheatre.org/performance-id/5968	08-09	normal
Julius Caesar	http://www.shakespearetheatre.org/performance-id/3599	07-08	normal
Antony and Cleopatra	http://www.shakespearetheatre.org/performance-id/3603	07-08	normal
Hamlet	http://www.shakespearetheatre.org/performance-id/2910	06-07	normal
Richard III	http://www.shakespearetheatre.org/performance-id/2781	06-07	normal
Othello	http://www.shakespearetheatre.org/performance-id/1807	05-06	normal
The Tempest	http://www.shakespearetheatre.org/performance-id/1243	04-05	normal
Macbeth	http://www.shakespearetheatre.org/performance-id/970	04-05	normal
Richard III	http://www.shakespearetheatre.org/performance-id/20086	02-03	normal
Hamlet	http://www.shakespearetheatre.org/performance-id/20087	01-02	normal
King Lear	http://www.shakespearetheatre.org/performance-id/20100	99-00	normal
Othello	http://www.shakespearetheatre.org/performance-id/20136	97-98	normal
The Tempest	http://www.shakespearetheatre.org/performance-id/20110	97-98	normal
Macbeth	http://www.shakespearetheatre.org/performance-id/20115	95-96	normal
Romeo and Juliet	http://www.shakespearetheatre.org/performance-id/20146	93-94	normal
Julius Caesar	http://www.shakespearetheatre.org/performance-id/20145	93-94	normal
Hamlet	http://www.shakespearetheatre.org/performance-id/20119	92-93	normal
King Lear	http://www.shakespearetheatre.org/performance-id/20158	90-91	normal
Othello	http://www.shakespearetheatre.org/performance-id/20156	90-91	normal
Richard III	http://www.shakespearetheatre.org/performance-id/20155	90-91	normal
The Tempest	http://www.shakespearetheatre.org/performance-id/20121	89-90	normal
Antony and Cleopatra	http://www.shakespearetheatre.org/performance-id/20124	88-89	normal
Macbeth	http://www.shakespearetheatre.org/performance-id/20130	87-88	normal
Romeo and Juliet	http://www.shakespearetheatre.org/performance-id/20132	86-87	normal
